date,game,player,team,prop_type,model_probability,fair_odds,market_odds,market_implied_probability,edge_percent,tier,confidence,result,win_loss_push,profit_loss_units,closing_odds,closing_line_value,notes,evaluation_mode
2026-04-18,CIN@MIN,Ryan Kreidler,MIN,HR,15.03,+565,,,,A+,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",L,L,,,,"1 H, 2 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Ryan Kreidler,MIN,2+ TB,49.64,+101,,,,A+,"Medium — stats+savant+recent+BvP, posted lineup, no live markets",W,W,,,,"1 H, 2 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Tristan Gray,MIN,HR,6.64,+1405,,,,C,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",target_accuracy
2026-04-18,CIN@MIN,Tristan Gray,MIN,2+ TB,30.49,+228,200,33.33,-2.84,B,"Medium — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Carson Benge,NYM,HR,0.40,+24900,1150,8.00,-7.60,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,-1.000,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Carson Benge,NYM,2+ TB,6.00,+1567,,,,D,"High — stats+savant+recent+BvP, posted lineup, limited or misaligned live markets",L,L,,,,"0 H, 0 TB, 0 HR, 0 R, 0 RBI; market line 0.5 excluded from 2+ TB ROI",target_accuracy
2026-04-18,NYM@CHC,Bo Bichette,NYM,HR,0.74,+13386,975,9.30,-8.56,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Bo Bichette,NYM,2+ TB,18.81,+432,160,38.46,-19.65,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"1 H, 1 TB, 0 HR, 1 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Francisco Lindor,NYM,HR,2.19,+4464,700,12.50,-10.31,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",L,L,-1.000,,,"2 H, 2 TB, 0 HR, 0 R, 0 RBI",betting_roi
2026-04-18,NYM@CHC,Francisco Lindor,NYM,2+ TB,16.58,+503,210,32.26,-15.68,D,"High — stats+savant+recent+BvP, posted lineup, live markets matched",W,W,2.100,,,"2 H, 2 TB, 0 HR, 0 R, 0 RBI",betting_roi
